#r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  4      0 4424604  72128 1969360    0    0     0    20 17544 36235 48 51  0  0  0
14  3      0 4398032  72136 1969360    0    0     0    20 21136 42090 48 52  0  0  0
14  3      0 4566380  72144 1969360    0    0     0    20 23447 47776 42 57  0  0  0
15  0      0 4565944  72152 1969360    0    0     0    20 24264 47017 43 57  0  0  0
13  3      0 4313492  72160 1969360    0    0     0    20 20740 41748 49 51  0  0  0
14  3      0 4508244  72168 1969312    0    0     0    20 20912 41813 44 56  0  0  0
16  0      0 4568680  72208 1969292    0    0     0   192 18657 39198 51 49  0  0  0
17  0      0 4394264  72216 1969312    0    0     0    20 15466 34699 57 43  0  0  0
16  0      0 4315064  72224 1969340    0    0     0    20 16703 34392 56 44  0  0  0
16  0      0 4516420  72232 1969328    0    0     0    20 16513 36603 50 50  0  0  0
16  1      0 4477508  72240 1969328    0    0     0    20 20398 39871 49 51  0  0  0
16  0      0 4522904  72248 1969328    0    0     0    20 15472 32747 50 49  0  0  0
16  1      0 4472068  72264 1969328    0    0     0    32 17715 37086 51 49  0  0  0
15  1      0 4393332  72272 1969328    0    0     0    20 22261 43458 47 53  0  0  0
16  1      0 4479104  72280 1969328    0    0     0    20 15454 32141 51 49  0  0  0
16  2      0 4386212  72288 1969328    0    0     0    20 14721 31637 51 49  0  1  0
17  0      0 4464608  72312 1969316    0    0     0    60 16555 38038 53 47  0  0  0
15  1      0 4415268  72320 1969332    0    0     0    20 17830 34492 49 51  0  0  0
17  0      0 4388116  72328 1969332    0    0     0    20 17743 36489 51 49  0  0  0
14  2      0 4603876  72336 1969332    0    0     0    20 14330 31655 58 42  0  0  0
16  1      0 4468120  72344 1969332    0    0     0    20 17329 35285 54 45  0  0  0
14  3      0 4560840  72352 1970708    0    0     0    20 17675 36148 47 53  0  0  0
15  1      0 4539128  72360 1971492    0    0     0    20 14507 31063 53 46  0  0  0
14  2      0 4425996  72408 1969356    0    0     0   272 16409 33586 48 51  0  0  0
13  3      0 4485396  72416 1969448    0    0     0    20 21258 41856 51 49  0  0  0
16  0      0 4395456  72424 1969260    0    0     0    20 16295 32556 57 43  0  0  0
15  2      0 4550312  72432 1969188    0    0     0    20 18813 38255 53 47  0  0  0
16  0      0 4638804  72440 1969348    0    0     0    20 16032 32642 54 45  0  0  0
18  1      0 4389152  72448 1969384    0    0     0    20 14791 30779 54 46  0  0  0
16  0      0 4483028  72456 1969384    0    0     0    20 17307 36459 53 47  0  0  0
13  3      0 4396112  72464 1969384    0    0     0    20 18129 38241 55 45  0  0  0
17  0      0 4517648  72472 1969384    0    0     0    20 22469 46218 47 53  0  0  0
14  2      0 4487428  72480 1969384    0    0     0    20 16897 36518 49 51  0  0  0
16  1      0 4450864  72488 1969384    0    0     0    20 21432 44328 46 53  0  0  0
15  2      0 4277720  72496 1969384    0    0     0    20 18592 39307 53 47  0  0  0
14  3      0 4553104  72504 1969384    0    0     0    20 17619 36032 55 45  0  0  0
16  1      0 4442548  72512 1969344    0    0     0    20 19753 43376 53 47  0  0  0
15  3      0 4391516  72520 1969432    0    0     0    20 18857 43276 50 50  0  0  0
17  0      0 4447432  72716 1969888    0    0   340  4012 18298 40778 54 46  0  0  0
18  0      0 4549468  72748 1969992    0    0   256   180 19960 43356 60 40  0  0  0
18  0      0 4426016  72964 1970516    0    0   336  4004 17920 41604 52 48  0  0  0
17  0      0 4198828  73020 1971668    0    0     0   372 15505 35343 52 48  0  0  0
16  3      0 4349360  73108 1973404    0    0    16  1272 17675 41359 56 43  0  0  0
20  0      0 4390224  73364 1973596    0    0   228  2928 14964 36758 57 43  0  1  0
14  3      0 4395428  73536 1979652    0    0  5960   880 14780 34358 52 48  0  0  0
18  0      0 4372436  73568 1979872    0    0     0   184 14982 34776 61 39  0  0  0
17  0      0 4307908  73656 1979984    0    0    92   644 14354 32674 54 45  0  0  0
18  0      0 4211488  73880 1980428    0    0     0  1624 16076 38409 49 50  0  0  0
19  0      0 4332324  74008 1980972    0    0   152   828 16311 42622 50 50  0  0  0
16  1      0 4415072  74072 1981424    0    0   196   416 17153 37473 50 50  0  0  0
14  1      0 4349444  74104 1981672    0    0     0   192 14950 35242 48 52  0  0  0
17  0      0 4218012  74176 1981808    0    0    32   448 15626 35613 56 44  0  0  0
18  0      0 4210976  74216 1982056    0    0     0   184 17380 38319 47 52  0  0  0
16  1      0 4412356  74232 1982108    0    0     0    32 13889 33208 54 45  0  0  0
15  1      0 4266168  74296 1982052    0    0     0   672 17688 39863 48 52  0  0  0
